

loss: 3197.590, mean of ED: 6.807

[97/10000] -  loss: 6033.623, mean of ED: 3.884
loss: 3040.318, mean of ED: 6.638

[98/10000] -  loss: 5827.958, mean of ED: 3.817
loss: 2890.541, mean of ED: 6.472

[99/10000] -  loss: 5630.782, mean of ED: 3.752
loss: 2747.951, mean of ED: 6.311

[100/10000] -  loss: 5441.802, mean of ED: 3.688
loss: 2612.252, mean of ED: 6.153

[101/10000] -  loss: 5260.726, mean of ED: 3.627
loss: 2483.150, mean of ED: 5.999

[102/10000] -  loss: 5087.272, mean of ED: 3.566
loss: 2360.365, mean of ED: 5.849

[103/10000] -  loss: 4921.170, mean of ED: 3.508
loss: 2243.620, mean of ED: 5.702

[104/10000] -  loss: 4762.151, mean of ED: 3.450
loss: 2132.648, mean of ED: 5.559

[105/10000] -  loss: 4609.959, mean of ED: 3.395
loss: 2027.193, mean of ED: 5.420

[106/10000] -  loss: 4464.343, mean of ED: 3.341
loss: 1927.003, mean of ED: 5.285

[107/10000] -  loss: 4325.056, mean of ED: 3.288
loss: 1831.842, mean of ED: 5.153

[108/10000] -  loss: 4191.861, mean of ED: 3.237
loss: 1741.480, mean of ED: 5.024

[109/10000] -  loss: 4064.528, mean of ED: 3.188
loss: 1655.699, mean of ED: 4.899

[110/10000] -  loss: 3942.824, mean of ED: 3.140
loss: 1574.292, mean of ED: 4.777

[111/10000] -  loss: 3826.536, mean of ED: 3.093
loss: 1497.061, mean of ED: 4.658

[112/10000] -  loss: 3715.448, mean of ED: 3.048
loss: 1423.819, mean of ED: 4.543

[113/10000] -  loss: 3609.354, mean of ED: 3.004
loss: 1354.389, mean of ED: 4.430

[114/10000] -  loss: 3508.055, mean of ED: 2.961
loss: 1288.602, mean of ED: 4.322

[115/10000] -  loss: 3411.357, mean of ED: 2.920
loss: 1226.299, mean of ED: 4.216

[116/10000] -  loss: 3319.073, mean of ED: 2.881
loss: 1167.328, mean of ED: 4.113

[117/10000] -  loss: 3231.024, mean of ED: 2.842
loss: 1111.541, mean of ED: 4.014

[118/10000] -  loss: 3147.035, mean of ED: 2.805
loss: 1058.798, mean of ED: 3.917

[119/10000] -  loss: 3066.934, mean of ED: 2.769
loss: 1008.965, mean of ED: 3.824

[120/10000] -  loss: 2990.559, mean of ED: 2.734
loss: 961.910, mean of ED: 3.734

[121/10000] -  loss: 2917.752, mean of ED: 2.701
loss: 917.506, mean of ED: 3.647

[122/10000] -  loss: 2848.359, mean of ED: 2.669
loss: 875.631, mean of ED: 3.562

[123/10000] -  loss: 2782.235, mean of ED: 2.637
loss: 836.164, mean of ED: 3.481

[124/10000] -  loss: 2719.238, mean of ED: 2.607
loss: 798.989, mean of ED: 3.403

[125/10000] -  loss: 2659.231, mean of ED: 2.578
loss: 763.995, mean of ED: 3.328

[126/10000] -  loss: 2602.084, mean of ED: 2.551
loss: 731.074, mean of ED: 3.255

[127/10000] -  loss: 2547.671, mean of ED: 2.524
loss: 700.123, mean of ED: 3.185

[128/10000] -  loss: 2495.869, mean of ED: 2.498
loss: 671.042, mean of ED: 3.119

[129/10000] -  loss: 2446.564, mean of ED: 2.473
loss: 643.736, mean of ED: 3.054

[130/10000] -  loss: 2399.641, mean of ED: 2.449
loss: 618.117, mean of ED: 2.993

[131/10000] -  loss: 2354.994, mean of ED: 2.426
loss: 594.100, mean of ED: 2.934

[132/10000] -  loss: 2312.519, mean of ED: 2.404
loss: 571.603, mean of ED: 2.878

[133/10000] -  loss: 2272.115, mean of ED: 2.383
loss: 550.552, mean of ED: 2.825

[134/10000] -  loss: 2233.688, mean of ED: 2.363
loss: 530.873, mean of ED: 2.774

[135/10000] -  loss: 2197.146, mean of ED: 2.344
loss: 512.498, mean of ED: 2.725

[136/10000] -  loss: 2162.401, mean of ED: 2.325
loss: 495.360, mean of ED: 2.679

[137/10000] -  loss: 2129.367, mean of ED: 2.307
loss: 479.397, mean of ED: 2.636

[138/10000] -  loss: 2097.964, mean of ED: 2.290
loss: 464.549, mean of ED: 2.595

[139/10000] -  loss: 2068.115, mean of ED: 2.274
loss: 450.754, mean of ED: 2.556

[140/10000] -  loss: 2039.745, mean of ED: 2.258
loss: 437.956, mean of ED: 2.519

[141/10000] -  loss: 2012.782, mean of ED: 2.243
loss: 426.099, mean of ED: 2.485

[142/10000] -  loss: 1987.158, mean of ED: 2.229
loss: 415.128, mean of ED: 2.453

[143/10000] -  loss: 1962.807, mean of ED: 2.215
loss: 404.992, mean of ED: 2.423

[144/10000] -  loss: 1939.667, mean of ED: 2.202
loss: 395.637, mean of ED: 2.395

[145/10000] -  loss: 1917.678, mean of ED: 2.190
loss: 387.015, mean of ED: 2.368

[146/10000] -  loss: 1896.782, mean of ED: 2.178
loss: 379.078, mean of ED: 2.344

[147/10000] -  loss: 1876.925, mean of ED: 2.166
loss: 371.781, mean of ED: 2.321

[148/10000] -  loss: 1858.054, mean of ED: 2.155
loss: 365.080, mean of ED: 2.300

[149/10000] -  loss: 1840.120, mean of ED: 2.145
loss: 358.935, mean of ED: 2.281

[150/10000] -  loss: 1823.073, mean of ED: 2.135
loss: 353.307, mean of ED: 2.263

[151/10000] -  loss: 1806.870, mean of ED: 2.125
loss: 348.161, mean of ED: 2.246

[152/10000] -  loss: 1791.466, mean of ED: 2.116
loss: 343.463, mean of ED: 2.231

[153/10000] -  loss: 1776.819, mean of ED: 2.108
loss: 339.183, mean of ED: 2.217

[154/10000] -  loss: 1762.891, mean of ED: 2.099
loss: 335.292, mean of ED: 2.204

[155/10000] -  loss: 1749.642, mean of ED: 2.091
loss: 331.762, mean of ED: 2.193

[156/10000] -  loss: 1737.037, mean of ED: 2.084
loss: 328.569, mean of ED: 2.182

[157/10000] -  loss: 1725.043, mean of ED: 2.077
loss: 325.690, mean of ED: 2.173

[158/10000] -  loss: 1713.626, mean of ED: 2.070
loss: 323.102, mean of ED: 2.164

[159/10000] -  loss: 1702.756, mean of ED: 2.063
loss: 320.785, mean of ED: 2.156

[160/10000] -  loss: 1692.402, mean of ED: 2.057
loss: 318.720, mean of ED: 2.149

[161/10000] -  loss: 1682.538, mean of ED: 2.051
loss: 316.887, mean of ED: 2.143

[162/10000] -  loss: 1673.134, mean of ED: 2.045
loss: 315.269, mean of ED: 2.138

[163/10000] -  loss: 1664.168, mean of ED: 2.040
loss: 313.849, mean of ED: 2.133

[164/10000] -  loss: 1655.614, mean of ED: 2.034
loss: 312.612, mean of ED: 2.129

[165/10000] -  loss: 1647.449, mean of ED: 2.029
loss: 311.542, mean of ED: 2.125

[166/10000] -  loss: 1639.652, mean of ED: 2.025
loss: 310.625, mean of ED: 2.122

[167/10000] -  loss: 1632.202, mean of ED: 2.020
loss: 309.848, mean of ED: 2.119

[168/10000] -  loss: 1625.079, mean of ED: 2.016
loss: 309.199, mean of ED: 2.117

[169/10000] -  loss: 1618.266, mean of ED: 2.011
loss: 308.667, mean of ED: 2.115

[170/10000] -  loss: 1611.744, mean of ED: 2.007
loss: 308.241, mean of ED: 2.114

[171/10000] -  loss: 1605.495, mean of ED: 2.003
loss: 307.913, mean of ED: 2.112

[172/10000] -  loss: 1599.506, mean of ED: 2.000
loss: 307.672, mean of ED: 2.112

[173/10000] -  loss: 1593.759, mean of ED: 1.996
loss: 307.512, mean of ED: 2.111

